angle of attack (deg),angle of attack (rad),Lift force,Drag coefficient,Linear aproximation,Error,,,,,,,,
14.92682482,0.26052224,12.66666704,0.191818638,0.067241469,64.94528887,,rho,1025,,,,y=mx+b,
13.09755686,0.228595491,6.463768252,0.097884567,0.062260897,36.39355158,,A,0.032212,,,,m,0.156
11.04877452,0.192837494,5.01449281,0.075937354,0.056682649,25.35603885,,U,2,,,,b,0.0266
9.000003349,0.157079691,4,0.060574305,0.051104432,15.63348219,,,,,,,,
7.097560213,0.123875795,3.043477323,0.046089131,0.045924624,0.35693241,,,,,,,,
5.048777874,0.088117797,2.405797013,0.036432371,0.040346376,-10.74320787,,,,,,,,
3.073170718,0.053636948,1.971013275,0.02984819,0.034967364,-17.15070097,,,,,,,,
1.097563563,0.019156098,1.565215709,0.023702963,0.029588351,-24.82975768,,,,,,,,
0.146341994,0.00255415,1.449275442,0.021947213,0.026998447,-23.01537941,,,,,,,,
-0.951218777,-0.0166019,1.478260509,0.022386151,0.024010104,-7.254273715,,,,,,,,
-3.878047501,-0.067684697,1.855070797,0.028092406,0.016041187,42.89849293,,,,,,,,
-6.95122101,-0.121321694,2.608694691,0.039504967,0.007673816,80.57506088,,,,,,,,
-9.951219335,-0.173681542,3.739127767,0.056623766,-0.000494321,100.8729913,,,,,,,,
-12.80487846,-0.223487289,5.623185842,0.085155144,-0.008264017,109.7046599,,,,,,,,
-13.90243923,-0.242643339,11.71014491,0.177333472,-0.011252361,106.3453113,,,,,,,,
-14.85365521,-0.259245189,13.15942035,0.199280685,-0.01384225,106.946107,,,,,,,,
