angle of attack (deg),Lift force,Lift coefficient,,,,,
15.07370895,45.27918064,0.685688724,,,,rho,1025
13.00982467,50.15228387,0.759484935,,,,A,0.032212
11.09336392,44.87309548,0.679539143,,,,U,2
9.029485266,38.37563613,0.581144372,,,,,
7.113018887,31.8781729,0.482749542,,,,,
5.049140236,24.9746129,0.378204955,,,,,
2.985255961,16.24365419,0.245987016,,,,,
1.068795205,4.670049031,0.070721244,,,,,
-0.921374498,-5.076141935,-0.076870942,,,,,
-4.090909858,-19.89849033,-0.301334305,,,,,
-7.039312751,-31.67512258,-0.479674634,,,,,
-10.0614274,-41.21827871,-0.624192146,,,,,
-12.93611854,-47.91877677,-0.72566165,,,,,
-13.96806067,-37.7664929,-0.571919765,,,,,
-15,-38.1726013,-0.578069698,,,,,
